"source","facility_type","name","lat","lon","address"
"Recreation","public park","Viewing Park",41.6674918720005,-86.2363446469997,"900 Northside Blvd, South Bend, Indiana 46617"
"Recreation","other","Potawatomi Zoo",41.6712716070005,-86.2207712009996,"500 South Greenlawn Avenue, South Bend, Indiana 46615"
"Recreation","public park","Vassar Park",41.6894837530005,-86.2649324279997,"1100 Sherman Avenue, South Bend, Indiana 46616"
"Recreation","public park","Kennedy Park",41.6846746480005,-86.2883858329997,"2700 Westmoor Street, South Bend, Indiana 46628"
"Recreation","other","East Race Trail",41.6841137480005,-86.2364985169997,"935 Niles, South Bend, Indiana 46617"
"Recreation","public park","Fredrickson Park",41.6905863180005,-86.2301473389996,"1330 South Bend Avenue, South Bend, Indiana 46617"
"Recreation","other","Jon Hunt Memorial Plaza",41.6783106840005,-86.2504509539997,"214 Michigan Street, South Bend, Indiana 46601"
"Recreation","public park","Potawatomi Park",41.6675365100005,-86.2179095949996,"2000 Wall Street, South Bend, Indiana 46615"
"Recreation","public park","O'Brien Park",41.6310119820005,-86.2468788709996,"321 Walter Street, South Bend, Indiana 46614"
"Recreation","public park","Fremont Park",41.6993638400005,-86.2849723149997,"1800 North Fremont Street, South Bend, Indiana 46628"
"Recreation","public park","Shetterley Park",41.6890971590005,-86.2596479009997,"1044 Riverside Drive, South Bend, Indiana 46616"
"Recreation","public park","Kelly Park",41.6884330280001,-86.240575441,"718 Howard Street, South Bend, Indiana 46617"
"Recreation","public park","Martin Luther King Jr.",41.679383204,-86.274170845,"1522 W. Linden Avenue, South Bend, Indiana 46628"
"Recreation","public park","Ponader Park",41.7086707510001,-86.2138638709999,"54054 Maple Lane Avenue, South Bend, Indiana 46635"
"Recreation","public park","Riverside Park",41.727347272,-86.269300363,"3840 Riverside Drive, South Bend, Indiana 46628"
"Recreation","public park","Rum Village Annex",41.6468285870001,-86.273117004,"2700 Gertrude St, South Bend, Indiana 46614"
